Year,Region,Event_Type,Impact_Level,Casualties,Economic_Loss,Description
1850,Asia,Economic Crisis,Low,0,289576908,A economic crisis occurred in Asia around 1850 with low impact.
1999,Africa,War,High,339902,262318192,A war occurred in Africa around 1999 with high impact.
1804,Europe,Economic Crisis,Medium,0,128554982,A economic crisis occurred in Europe around 1804 with medium impact.
1814,Asia,Peace Treaty,Low,0,0,A peace treaty occurred in Asia around 1814 with low impact.
1821,Oceania,Discovery,Low,0,0,A discovery occurred in Oceania around 1821 with low impact.
1994,Africa,Pandemic,Low,134628,0,A pandemic occurred in Africa around 1994 with low impact.
1968,South America,Peace Treaty,Low,0,0,A peace treaty occurred in South America around 1968 with low impact.
1867,Africa,Pandemic,High,443692,0,A pandemic occurred in Africa around 1867 with high impact.
1854,Africa,Pandemic,High,723378,0,A pandemic occurred in Africa around 1854 with high impact.
1851,Oceania,Economic Crisis,Medium,0,360609191,A economic crisis occurred in Oceania around 1851 with medium impact.
1966,North America,Discovery,High,0,0,A discovery occurred in North America around 1966 with high impact.
1915,Europe,Revolution,Low,67136,0,A revolution occurred in Europe around 1915 with low impact.
1886,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1886 with high impact.
1858,Africa,Revolution,Low,74441,0,A revolution occurred in Africa around 1858 with low impact.
1981,Oceania,War,Low,70674,486093668,A war occurred in Oceania around 1981 with low impact.
1808,Middle East,Economic Crisis,Low,0,276035466,A economic crisis occurred in Middle East around 1808 with low impact.
1860,North America,Reform,Medium,0,0,A reform occurred in North America around 1860 with medium impact.
1854,Africa,Revolution,High,980957,0,A revolution occurred in Africa around 1854 with high impact.
1946,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1946 with low impact.
2000,South America,Pandemic,Medium,199659,0,A pandemic occurred in South America around 2000 with medium impact.
1824,Europe,Reform,Medium,0,0,A reform occurred in Europe around 1824 with medium impact.
1890,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1890 with medium impact.
1986,Europe,Reform,High,0,0,A reform occurred in Europe around 1986 with high impact.
1965,Europe,War,Medium,763587,182161696,A war occurred in Europe around 1965 with medium impact.
2004,Middle East,War,Low,200896,102117629,A war occurred in Middle East around 2004 with low impact.
1937,South America,Revolution,Medium,192401,0,A revolution occurred in South America around 1937 with medium impact.
1871,South America,Revolution,Low,464656,0,A revolution occurred in South America around 1871 with low impact.
2006,Middle East,Pandemic,High,102664,0,A pandemic occurred in Middle East around 2006 with high impact.
1812,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1812 with low impact.
1823,Middle East,Pandemic,Low,174389,0,A pandemic occurred in Middle East around 1823 with low impact.
1904,South America,Discovery,Low,0,0,A discovery occurred in South America around 1904 with low impact.
1902,Europe,Revolution,Medium,2260,0,A revolution occurred in Europe around 1902 with medium impact.
1899,North America,Pandemic,Medium,299105,0,A pandemic occurred in North America around 1899 with medium impact.
1908,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1908 with high impact.
1969,Oceania,Discovery,Low,0,0,A discovery occurred in Oceania around 1969 with low impact.
1848,North America,Revolution,Low,607314,0,A revolution occurred in North America around 1848 with low impact.
1988,Africa,War,High,328838,30690373,A war occurred in Africa around 1988 with high impact.
1812,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1812 with high impact.
2018,Africa,Revolution,Low,532496,0,A revolution occurred in Africa around 2018 with low impact.
1820,Middle East,Revolution,Low,623939,0,A revolution occurred in Middle East around 1820 with low impact.
1817,Oceania,Pandemic,Low,423389,0,A pandemic occurred in Oceania around 1817 with low impact.
1830,Africa,Revolution,High,623398,0,A revolution occurred in Africa around 1830 with high impact.
1810,Africa,War,Medium,689305,313356673,A war occurred in Africa around 1810 with medium impact.
1944,Africa,Economic Crisis,Medium,0,109660823,A economic crisis occurred in Africa around 1944 with medium impact.
1971,Oceania,Economic Crisis,Low,0,142600706,A economic crisis occurred in Oceania around 1971 with low impact.
1901,Asia,Reform,High,0,0,A reform occurred in Asia around 1901 with high impact.
1876,South America,Economic Crisis,Low,0,5001198,A economic crisis occurred in South America around 1876 with low impact.
1917,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 1917 with low impact.
1818,Africa,Revolution,High,278082,0,A revolution occurred in Africa around 1818 with high impact.
1833,North America,War,Low,387477,153001442,A war occurred in North America around 1833 with low impact.
1840,South America,Pandemic,High,737715,0,A pandemic occurred in South America around 1840 with high impact.
1877,Africa,Pandemic,High,554634,0,A pandemic occurred in Africa around 1877 with high impact.
1802,Oceania,Pandemic,High,313921,0,A pandemic occurred in Oceania around 1802 with high impact.
1969,Europe,Revolution,Medium,121035,0,A revolution occurred in Europe around 1969 with medium impact.
1827,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1827 with low impact.
1869,North America,Peace Treaty,Low,0,0,A peace treaty occurred in North America around 1869 with low impact.
1983,North America,Revolution,High,665046,0,A revolution occurred in North America around 1983 with high impact.
2018,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 2018 with medium impact.
1864,Middle East,War,Low,665095,227405510,A war occurred in Middle East around 1864 with low impact.
2012,North America,War,Low,349759,413991481,A war occurred in North America around 2012 with low impact.
1833,Oceania,Economic Crisis,Low,0,397945315,A economic crisis occurred in Oceania around 1833 with low impact.
1913,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1913 with medium impact.
1943,Europe,War,Low,990957,474114134,A war occurred in Europe around 1943 with low impact.
1976,Asia,Peace Treaty,Low,0,0,A peace treaty occurred in Asia around 1976 with low impact.
2013,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 2013 with high impact.
1837,South America,Revolution,Low,323232,0,A revolution occurred in South America around 1837 with low impact.
1893,Middle East,Pandemic,Low,942590,0,A pandemic occurred in Middle East around 1893 with low impact.
1891,Asia,Reform,Low,0,0,A reform occurred in Asia around 1891 with low impact.
1970,Europe,Economic Crisis,High,0,474666203,A economic crisis occurred in Europe around 1970 with high impact.
1904,Africa,Reform,Low,0,0,A reform occurred in Africa around 1904 with low impact.
1860,Middle East,Revolution,Low,924231,0,A revolution occurred in Middle East around 1860 with low impact.
1905,Europe,Revolution,High,969395,0,A revolution occurred in Europe around 1905 with high impact.
1885,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1885 with high impact.
1988,Middle East,Revolution,Medium,166931,0,A revolution occurred in Middle East around 1988 with medium impact.
2001,Oceania,War,Medium,914533,20790113,A war occurred in Oceania around 2001 with medium impact.
2019,South America,Revolution,Low,856253,0,A revolution occurred in South America around 2019 with low impact.
1917,North America,Economic Crisis,Low,0,119681170,A economic crisis occurred in North America around 1917 with low impact.
1806,Oceania,Revolution,Medium,344207,0,A revolution occurred in Oceania around 1806 with medium impact.
1871,Middle East,War,Medium,368203,344392886,A war occurred in Middle East around 1871 with medium impact.
1930,South America,Reform,High,0,0,A reform occurred in South America around 1930 with high impact.
1884,Europe,War,Medium,187241,311701739,A war occurred in Europe around 1884 with medium impact.
1867,Europe,War,High,455673,185589352,A war occurred in Europe around 1867 with high impact.
1986,Middle East,Economic Crisis,Medium,0,325455898,A economic crisis occurred in Middle East around 1986 with medium impact.
1930,Europe,Discovery,High,0,0,A discovery occurred in Europe around 1930 with high impact.
1848,North America,War,High,457239,907996,A war occurred in North America around 1848 with high impact.
1933,Middle East,Peace Treaty,High,0,0,A peace treaty occurred in Middle East around 1933 with high impact.
1984,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1984 with high impact.
1850,North America,Discovery,Low,0,0,A discovery occurred in North America around 1850 with low impact.
1970,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1970 with medium impact.
1969,Middle East,War,High,943767,161234290,A war occurred in Middle East around 1969 with high impact.
1929,North America,Reform,Medium,0,0,A reform occurred in North America around 1929 with medium impact.
1883,South America,Reform,Medium,0,0,A reform occurred in South America around 1883 with medium impact.
1941,Asia,Revolution,Medium,697229,0,A revolution occurred in Asia around 1941 with medium impact.
1897,Oceania,Reform,Low,0,0,A reform occurred in Oceania around 1897 with low impact.
1957,Africa,Economic Crisis,Medium,0,294171548,A economic crisis occurred in Africa around 1957 with medium impact.
2013,Europe,Economic Crisis,Medium,0,112840968,A economic crisis occurred in Europe around 2013 with medium impact.
1910,Middle East,Peace Treaty,High,0,0,A peace treaty occurred in Middle East around 1910 with high impact.
1967,North America,Discovery,Medium,0,0,A discovery occurred in North America around 1967 with medium impact.
1913,Oceania,Revolution,High,496171,0,A revolution occurred in Oceania around 1913 with high impact.
2003,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 2003 with low impact.
1968,Europe,Economic Crisis,High,0,356403814,A economic crisis occurred in Europe around 1968 with high impact.
1962,Africa,Economic Crisis,Low,0,439387748,A economic crisis occurred in Africa around 1962 with low impact.
1992,Asia,Reform,Medium,0,0,A reform occurred in Asia around 1992 with medium impact.
1857,Middle East,Revolution,Low,25611,0,A revolution occurred in Middle East around 1857 with low impact.
1811,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1811 with high impact.
2017,Middle East,War,Medium,434572,475741131,A war occurred in Middle East around 2017 with medium impact.
1961,Africa,Revolution,High,730180,0,A revolution occurred in Africa around 1961 with high impact.
1898,South America,Discovery,Low,0,0,A discovery occurred in South America around 1898 with low impact.
1837,Oceania,Reform,Low,0,0,A reform occurred in Oceania around 1837 with low impact.
1992,Middle East,Pandemic,Low,816232,0,A pandemic occurred in Middle East around 1992 with low impact.
1908,Asia,Revolution,High,543118,0,A revolution occurred in Asia around 1908 with high impact.
1918,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1918 with low impact.
2017,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 2017 with low impact.
2005,South America,Reform,High,0,0,A reform occurred in South America around 2005 with high impact.
1943,Africa,Economic Crisis,Medium,0,328915210,A economic crisis occurred in Africa around 1943 with medium impact.
2008,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 2008 with medium impact.
2012,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 2012 with low impact.
1990,Middle East,Discovery,Medium,0,0,A discovery occurred in Middle East around 1990 with medium impact.
1866,Middle East,Revolution,High,290782,0,A revolution occurred in Middle East around 1866 with high impact.
1996,Middle East,Peace Treaty,Medium,0,0,A peace treaty occurred in Middle East around 1996 with medium impact.
1960,Asia,Economic Crisis,Medium,0,41598558,A economic crisis occurred in Asia around 1960 with medium impact.
1982,North America,Revolution,Medium,352161,0,A revolution occurred in North America around 1982 with medium impact.
1881,Africa,War,Low,158157,124157563,A war occurred in Africa around 1881 with low impact.
1898,Oceania,Revolution,High,224345,0,A revolution occurred in Oceania around 1898 with high impact.
1816,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1816 with medium impact.
1938,South America,Discovery,Low,0,0,A discovery occurred in South America around 1938 with low impact.
1852,Middle East,Discovery,Medium,0,0,A discovery occurred in Middle East around 1852 with medium impact.
1997,Africa,Reform,Low,0,0,A reform occurred in Africa around 1997 with low impact.
2019,Middle East,Peace Treaty,Medium,0,0,A peace treaty occurred in Middle East around 2019 with medium impact.
1922,Europe,Economic Crisis,Medium,0,404518879,A economic crisis occurred in Europe around 1922 with medium impact.
1899,Middle East,Pandemic,Medium,564365,0,A pandemic occurred in Middle East around 1899 with medium impact.
1991,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1991 with high impact.
1856,South America,Revolution,Medium,457007,0,A revolution occurred in South America around 1856 with medium impact.
1924,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1924 with medium impact.
1971,Oceania,Pandemic,Medium,759359,0,A pandemic occurred in Oceania around 1971 with medium impact.
1842,Middle East,Discovery,Low,0,0,A discovery occurred in Middle East around 1842 with low impact.
1959,Africa,War,Medium,620644,303005638,A war occurred in Africa around 1959 with medium impact.
1969,Europe,War,High,449433,72853105,A war occurred in Europe around 1969 with high impact.
1918,Asia,War,Medium,397519,175746125,A war occurred in Asia around 1918 with medium impact.
1854,South America,Economic Crisis,Medium,0,408682086,A economic crisis occurred in South America around 1854 with medium impact.
1897,North America,Pandemic,Medium,264525,0,A pandemic occurred in North America around 1897 with medium impact.
2013,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 2013 with low impact.
1991,Africa,War,Medium,235113,349043454,A war occurred in Africa around 1991 with medium impact.
1817,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1817 with low impact.
1993,Europe,Revolution,Low,879995,0,A revolution occurred in Europe around 1993 with low impact.
1805,Africa,Revolution,Low,132352,0,A revolution occurred in Africa around 1805 with low impact.
1921,Oceania,War,High,993795,117018823,A war occurred in Oceania around 1921 with high impact.
1919,Oceania,Economic Crisis,Medium,0,90081110,A economic crisis occurred in Oceania around 1919 with medium impact.
1955,Africa,Reform,High,0,0,A reform occurred in Africa around 1955 with high impact.
1829,Middle East,Pandemic,Low,326147,0,A pandemic occurred in Middle East around 1829 with low impact.
1827,Africa,War,Medium,603766,363648055,A war occurred in Africa around 1827 with medium impact.
1896,South America,Reform,Low,0,0,A reform occurred in South America around 1896 with low impact.
1819,Africa,Reform,High,0,0,A reform occurred in Africa around 1819 with high impact.
1862,Europe,Reform,Medium,0,0,A reform occurred in Europe around 1862 with medium impact.
2017,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 2017 with low impact.
2003,Africa,Pandemic,Low,364069,0,A pandemic occurred in Africa around 2003 with low impact.
1936,South America,Reform,Medium,0,0,A reform occurred in South America around 1936 with medium impact.
1817,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1817 with medium impact.
1803,Middle East,Discovery,Medium,0,0,A discovery occurred in Middle East around 1803 with medium impact.
1827,South America,Economic Crisis,High,0,478660689,A economic crisis occurred in South America around 1827 with high impact.
2012,South America,Reform,Low,0,0,A reform occurred in South America around 2012 with low impact.
1911,Asia,Reform,High,0,0,A reform occurred in Asia around 1911 with high impact.
1966,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 1966 with high impact.
1998,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1998 with medium impact.
2011,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 2011 with medium impact.
1882,Middle East,Revolution,Low,292477,0,A revolution occurred in Middle East around 1882 with low impact.
1915,Asia,Pandemic,Medium,597530,0,A pandemic occurred in Asia around 1915 with medium impact.
1956,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 1956 with medium impact.
1807,South America,Pandemic,Medium,190672,0,A pandemic occurred in South America around 1807 with medium impact.
1924,Asia,Economic Crisis,Medium,0,182718024,A economic crisis occurred in Asia around 1924 with medium impact.
1871,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1871 with medium impact.
1942,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1942 with low impact.
1821,Asia,Reform,Medium,0,0,A reform occurred in Asia around 1821 with medium impact.
1925,Africa,Pandemic,Low,724156,0,A pandemic occurred in Africa around 1925 with low impact.
1921,Oceania,Reform,Medium,0,0,A reform occurred in Oceania around 1921 with medium impact.
1914,Middle East,War,Low,308528,118968663,A war occurred in Middle East around 1914 with low impact.
1903,Oceania,Revolution,Medium,696212,0,A revolution occurred in Oceania around 1903 with medium impact.
1948,North America,Discovery,High,0,0,A discovery occurred in North America around 1948 with high impact.
1935,North America,Discovery,High,0,0,A discovery occurred in North America around 1935 with high impact.
1940,North America,Economic Crisis,High,0,243602634,A economic crisis occurred in North America around 1940 with high impact.
1869,North America,Economic Crisis,Low,0,64776632,A economic crisis occurred in North America around 1869 with low impact.
1984,Asia,Economic Crisis,Low,0,398831233,A economic crisis occurred in Asia around 1984 with low impact.
1937,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1937 with low impact.
1849,Asia,Reform,Medium,0,0,A reform occurred in Asia around 1849 with medium impact.
1870,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1870 with high impact.
1952,North America,War,Low,310636,122129095,A war occurred in North America around 1952 with low impact.
1892,Asia,Economic Crisis,Low,0,380114529,A economic crisis occurred in Asia around 1892 with low impact.
1936,Asia,Economic Crisis,Low,0,29273432,A economic crisis occurred in Asia around 1936 with low impact.
1941,North America,Reform,Low,0,0,A reform occurred in North America around 1941 with low impact.
1963,Middle East,Pandemic,Medium,107570,0,A pandemic occurred in Middle East around 1963 with medium impact.
1803,Africa,Economic Crisis,Medium,0,257007733,A economic crisis occurred in Africa around 1803 with medium impact.
1912,North America,Revolution,Low,264742,0,A revolution occurred in North America around 1912 with low impact.
2020,South America,War,Low,420172,264004426,A war occurred in South America around 2020 with low impact.
1818,Africa,Reform,High,0,0,A reform occurred in Africa around 1818 with high impact.
1813,Asia,Revolution,High,995230,0,A revolution occurred in Asia around 1813 with high impact.
1877,Europe,Revolution,Low,585181,0,A revolution occurred in Europe around 1877 with low impact.
1995,South America,Peace Treaty,High,0,0,A peace treaty occurred in South America around 1995 with high impact.
2002,Africa,Revolution,High,398855,0,A revolution occurred in Africa around 2002 with high impact.
1915,South America,Economic Crisis,High,0,230226264,A economic crisis occurred in South America around 1915 with high impact.
1878,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 1878 with low impact.
1956,Oceania,War,Low,655900,113293290,A war occurred in Oceania around 1956 with low impact.
1867,Oceania,War,Low,251516,93315439,A war occurred in Oceania around 1867 with low impact.
1941,Europe,Revolution,Low,428361,0,A revolution occurred in Europe around 1941 with low impact.
1915,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 1915 with medium impact.
1874,Europe,Revolution,Medium,741296,0,A revolution occurred in Europe around 1874 with medium impact.
1872,Oceania,Pandemic,Medium,74637,0,A pandemic occurred in Oceania around 1872 with medium impact.
1975,Asia,Economic Crisis,High,0,316640873,A economic crisis occurred in Asia around 1975 with high impact.
1969,Middle East,Revolution,Medium,120351,0,A revolution occurred in Middle East around 1969 with medium impact.
1939,Asia,Reform,Low,0,0,A reform occurred in Asia around 1939 with low impact.
1868,Middle East,Revolution,Low,62535,0,A revolution occurred in Middle East around 1868 with low impact.
1842,Middle East,Economic Crisis,High,0,402093615,A economic crisis occurred in Middle East around 1842 with high impact.
2011,Africa,Economic Crisis,Medium,0,66761860,A economic crisis occurred in Africa around 2011 with medium impact.
1919,Oceania,Economic Crisis,High,0,216095115,A economic crisis occurred in Oceania around 1919 with high impact.
1869,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1869 with medium impact.
1912,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1912 with low impact.
1910,Oceania,Economic Crisis,High,0,134415245,A economic crisis occurred in Oceania around 1910 with high impact.
1806,Europe,Revolution,High,876566,0,A revolution occurred in Europe around 1806 with high impact.
2020,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 2020 with low impact.
1995,Oceania,Pandemic,Medium,604238,0,A pandemic occurred in Oceania around 1995 with medium impact.
1810,Middle East,Pandemic,Low,493355,0,A pandemic occurred in Middle East around 1810 with low impact.
1932,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 1932 with medium impact.
1846,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1846 with high impact.
2008,South America,War,Medium,364863,219230215,A war occurred in South America around 2008 with medium impact.
1885,North America,Reform,Low,0,0,A reform occurred in North America around 1885 with low impact.
2019,Asia,Economic Crisis,Medium,0,372413217,A economic crisis occurred in Asia around 2019 with medium impact.
1926,North America,Reform,Medium,0,0,A reform occurred in North America around 1926 with medium impact.
2008,Middle East,Peace Treaty,Low,0,0,A peace treaty occurred in Middle East around 2008 with low impact.
1916,Europe,Economic Crisis,Medium,0,173556292,A economic crisis occurred in Europe around 1916 with medium impact.
1829,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1829 with high impact.
2011,Europe,Reform,High,0,0,A reform occurred in Europe around 2011 with high impact.
1918,South America,War,Low,543623,194228815,A war occurred in South America around 1918 with low impact.
1959,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1959 with high impact.
1913,Middle East,War,Low,280028,294860050,A war occurred in Middle East around 1913 with low impact.
1833,North America,Discovery,High,0,0,A discovery occurred in North America around 1833 with high impact.
1924,Europe,War,High,638448,429128294,A war occurred in Europe around 1924 with high impact.
1861,Oceania,Revolution,Medium,577596,0,A revolution occurred in Oceania around 1861 with medium impact.
1803,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1803 with low impact.
1857,Middle East,War,Medium,993065,63064156,A war occurred in Middle East around 1857 with medium impact.
1965,Middle East,Revolution,Medium,977957,0,A revolution occurred in Middle East around 1965 with medium impact.
1983,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 1983 with high impact.
1869,South America,Pandemic,Medium,495158,0,A pandemic occurred in South America around 1869 with medium impact.
1862,South America,Peace Treaty,Low,0,0,A peace treaty occurred in South America around 1862 with low impact.
1898,Asia,Peace Treaty,High,0,0,A peace treaty occurred in Asia around 1898 with high impact.
1991,Asia,Pandemic,Low,289666,0,A pandemic occurred in Asia around 1991 with low impact.
1997,Middle East,Pandemic,Medium,356385,0,A pandemic occurred in Middle East around 1997 with medium impact.
2001,Africa,Economic Crisis,Low,0,151848023,A economic crisis occurred in Africa around 2001 with low impact.
1985,North America,Pandemic,High,608093,0,A pandemic occurred in North America around 1985 with high impact.
1968,South America,Pandemic,Low,468238,0,A pandemic occurred in South America around 1968 with low impact.
1937,South America,Economic Crisis,Medium,0,296308407,A economic crisis occurred in South America around 1937 with medium impact.
1995,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1995 with medium impact.
1882,Middle East,Revolution,High,250405,0,A revolution occurred in Middle East around 1882 with high impact.
1946,South America,Revolution,Medium,45767,0,A revolution occurred in South America around 1946 with medium impact.
1881,Oceania,Discovery,High,0,0,A discovery occurred in Oceania around 1881 with high impact.
2007,South America,Discovery,High,0,0,A discovery occurred in South America around 2007 with high impact.
2002,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 2002 with low impact.
1926,Europe,Revolution,High,618849,0,A revolution occurred in Europe around 1926 with high impact.
1884,Middle East,War,Medium,104555,282367836,A war occurred in Middle East around 1884 with medium impact.
1916,Europe,Reform,Low,0,0,A reform occurred in Europe around 1916 with low impact.
1904,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1904 with low impact.
1819,South America,Pandemic,Medium,355007,0,A pandemic occurred in South America around 1819 with medium impact.
1959,Oceania,Discovery,High,0,0,A discovery occurred in Oceania around 1959 with high impact.
1820,Middle East,Economic Crisis,High,0,461355823,A economic crisis occurred in Middle East around 1820 with high impact.
1936,South America,Economic Crisis,High,0,385858478,A economic crisis occurred in South America around 1936 with high impact.
1994,South America,Pandemic,High,37642,0,A pandemic occurred in South America around 1994 with high impact.
1958,Europe,Revolution,High,717644,0,A revolution occurred in Europe around 1958 with high impact.
1873,Asia,Reform,Low,0,0,A reform occurred in Asia around 1873 with low impact.
1911,Europe,Pandemic,High,738083,0,A pandemic occurred in Europe around 1911 with high impact.
1825,South America,Revolution,High,314012,0,A revolution occurred in South America around 1825 with high impact.
1807,Europe,Economic Crisis,Low,0,157500627,A economic crisis occurred in Europe around 1807 with low impact.
1891,North America,Discovery,Low,0,0,A discovery occurred in North America around 1891 with low impact.
1862,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1862 with high impact.
1974,Middle East,Revolution,Low,183573,0,A revolution occurred in Middle East around 1974 with low impact.
1820,Africa,Pandemic,Medium,649813,0,A pandemic occurred in Africa around 1820 with medium impact.
1974,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1974 with high impact.
1836,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1836 with high impact.
1865,South America,Economic Crisis,High,0,5045206,A economic crisis occurred in South America around 1865 with high impact.
2005,South America,Economic Crisis,High,0,293452642,A economic crisis occurred in South America around 2005 with high impact.
1840,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1840 with medium impact.
